name,城居消费（元）, 地区生产总值(亿元), 第二产业增加(亿元), 第三产业增加(亿元),第一产业增加(亿元),工业增加(亿元),国际旅游收入(亿元),建筑增加(亿元),交通仓储邮政增加(亿元),金融业增加(亿元),农居消费(元),农林牧渔增加(亿元),批发零售增加(亿元),住宿餐饮增加(亿元)
北京市,52721,25669.13,4944.44,20594.90,129.79,4026.68,5070.00,1025.50,1060.97,4270.82,24285,132.20,2372.89,399.35
天津市,39181,17885.39,7571.35,10093.82,220.22,6805.13,3556.87,786.89,725.31,1793.57,22194,222.05,2256.54,292.11
河北省,19276,32070.45,15256.93,13320.71,3492.81,13387.46,552.41,1885.27,2369.27,1731.23,8897,3644.82,2536.85,440.39
山西省,19724,13050.41,5028.99,7236.64,784.78,4148.91,317.38,895.63,930.75,1207.35,9226,827.32,1058.12,375.75
内蒙古自治区,28289,18128.10,8553.63,7937.08,1637.39,7233.00,1139.03,1322.50,1141.97,992.14,13013,1663.87,1841.71,682.12
辽宁省,29254,22246.90,8606.54,11467.30,2173.06,6818.32,1823.92,1880.85,1245.27,1829.22,12145,2296.55,2822.87,457.00
吉林省,18144,14776.80,7004.95,6273.33,1498.52,6070.07,791.21,960.87,558.38,659.55,8390,1549.26,1203.14,368.76
黑龙江省,22318,15386.09,4400.69,8314.94,2670.46,3647.14,458.05,874.23,758.01,900.84,10305,2731.65,1795.83,522.56
上海市,53240,28178.65,8406.28,19662.90,109.47,7555.34,6419.20,879.81,1237.32,4765.83,23660,113.47,4119.59,388.98
江苏省,41957,77388.28,34619.50,38691.60,4077.18,30455.15,3803.62,4173.66,2837.16,6011.13,23459,4323.53,7470.27,1291.32
浙江省,35152,47251.36,21194.61,24091.57,1965.18,18655.12,3127.59,2610.72,1774.37,3050.61,22028,2000.23,5754.19,1119.00
安徽省,22030,24407.62,11821.58,10018.32,2567.72,10076.94,2542.36,1763.53,826.90,1447.02,8565,2693.19,1775.87,458.02
福建省,27859,28810.58,14093.47,12353.89,2363.22,11698.36,6625.69,2421.34,1689.82,1866.17,15653,2444.81,2204.60,421.51
江西省,20335,18499.00,8829.54,7764.93,1904.53,7219.11,584.54,1610.91,796.47,1056.30,11320,1962.35,1264.66,425.34
山东省,33016,68024.49,31343.67,31751.69,4929.13,27588.70,3063.42,3806.31,2725.41,3364.56,15970,5171.13,9044.95,1440.16
河南省,23454,40471.79,19275.82,16909.76,4286.21,17042.72,646.50,2292.04,1938.06,2256.61,9291,4439.96,2987.25,1110.87
湖北省,25703,32665.38,14654.38,14351.67,3659.33,12536.39,1872.39,2192.97,1297.48,2318.87,10860,3780.80,2485.05,748.61
湖南省,24025,31551.37,13341.17,14631.83,3578.37,11337.28,1004.57,2016.59,1356.56,1272.71,10461,3725.90,2487.80,666.12
广东省,34667,80854.91,35109.66,42050.88,3694.37,32650.89,18577.13,2551.82,3209.72,6127.05,14784,3781.83,8382.48,1569.37
广西壮族自治区,22491,18317.64,8273.66,7247.18,2796.80,6816.64,2164.27,1458.41,855.67,1136.85,8225,2873.47,1215.06,398.17
海南省,24664,4053.20,905.95,2198.90,948.35,482.50,349.89,424.50,199.89,281.90,10512,977.63,467.80,191.96
重庆市,28209,17740.59,7898.92,8538.43,1303.24,6183.80,1686.82,1715.12,848.22,1642.59,9433,1324.66,1470.85,391.19
四川省,21246,32934.54,13448.92,15556.29,3929.33,11058.79,1581.68,2472.96,1472.57,2729.45,11094,4005.42,2138.45,941.28
贵州省,22301,11776.73,4669.53,5261.01,1846.19,3715.64,252.71,955.44,987.47,689.40,8887,1944.32,732.71,400.93
云南省,22365,14788.42,5690.16,6903.15,2195.11,3891.20,3074.77,1806.22,328.41,1092.60,8336,2242.22,1441.95,478.34
西藏自治区,18775,1151.41,429.17,606.46,115.78,86.44,194.39,342.73,31.26,93.05,5952,118.76,70.35,33.07
陕西省,23206,19399.59,9490.72,8215.02,1693.85,7598.00,2338.55,1943.20,771.77,1181.54,8768,1776.29,1604.40,457.63
甘肃省,21128,7200.37,2515.56,3701.42,983.39,1757.53,19.14,776.35,271.25,507.02,6781,1027.73,536.70,213.70
青海省,22761,2572.49,1249.98,1101.32,221.19,901.68,44.16,348.67,94.99,245.81,10505,224.69,163.04,46.17
宁夏回族自治区,25384,3168.59,1488.44,1438.55,241.60,1054.34,40.58,434.20,205.75,284.11,9980,256.27,145.41,54.98
新疆维吾尔自治区,22272,9649.70,3647.01,4353.72,1648.97,2677.63,518.73,1049.93,567.54,573.70,8816,1691.80,586.32,160.40
